time,counts,events
1699054285.4681816,1015321,branch-misses
1699054285.5763974,20408070,branches
1699054285.5763974,236675747,instructions
1699054285.5763974,396380,branch-misses
1699054285.6842046,28662891,branches
1699054285.6842046,285644351,instructions
1699054285.6842046,782267,branch-misses
1699054285.792128,30974377,branches
1699054285.792128,296311470,instructions
1699054285.792128,896020,branch-misses
1699054285.9001324,30857998,branches
1699054285.9001324,297367210,instructions
1699054285.9001324,869757,branch-misses
1699054286.008056,29186504,branches
1699054286.008056,283026379,instructions
1699054286.008056,1470682,branch-misses
1699054286.1161146,28714077,branches
1699054286.1161146,277663510,instructions
1699054286.1161146,1259036,branch-misses
1699054286.2243142,26913868,branches
1699054286.2243142,254328655,instructions
1699054286.2243142,544127,branch-misses
1699054286.3323624,26849933,branches
1699054286.3323624,252484721,instructions
1699054286.3323624,536719,branch-misses
1699054286.4403458,26790807,branches
1699054286.4403458,251808694,instructions
1699054286.4403458,534056,branch-misses
1699054286.5483537,26812041,branches
1699054286.5483537,252040935,instructions
1699054286.5483537,538513,branch-misses
1699054286.656305,29218455,branches
1699054286.656305,260061015,instructions
1699054286.656305,2600427,branch-misses
1699054286.7684734,32516113,branches
1699054286.7684734,294120572,instructions
1699054286.7684734,3188133,branch-misses
1699054286.8842478,23172784,branches
1699054286.8842478,250798586,instructions
1699054286.8842478,767605,branch-misses
1699054286.9922662,21049302,branches
1699054286.9922662,243394350,instructions
1699054286.9922662,435080,branch-misses
1699054287.1001809,29860578,branches
1699054287.1001809,293377174,instructions
1699054287.1001809,785847,branch-misses
1699054287.2081006,31010014,branches
1699054287.2081006,296562801,instructions
1699054287.2081006,870356,branch-misses
1699054287.3161068,30533554,branches
1699054287.3161068,295513639,instructions
1699054287.3161068,1005083,branch-misses
1699054287.4240577,28674030,branches
1699054287.4240577,279374482,instructions
1699054287.4240577,1465035,branch-misses
1699054287.5321765,28840008,branches
1699054287.5321765,276445435,instructions
1699054287.5321765,1037855,branch-misses
1699054287.640368,26837233,branches
1699054287.640368,252274322,instructions
1699054287.640368,541065,branch-misses
1699054287.7483397,26794875,branches
1699054287.7483397,251932412,instructions
1699054287.7483397,533005,branch-misses
1699054287.8563411,26854211,branches
1699054287.8563411,252391125,instructions
1699054287.8563411,536477,branch-misses
1699054287.9643328,26781615,branches
1699054287.9643328,251711210,instructions
1699054287.9643328,540654,branch-misses
1699054288.072339,30203095,branches
1699054288.072339,269650313,instructions
1699054288.072339,2793124,branch-misses
1699054288.1802437,29263680,branches
1699054288.1802437,265090924,instructions
1699054288.1802437,3046666,branch-misses
1699054288.2881565,21307372,branches
1699054288.2881565,240514657,instructions
1699054288.2881565,645155,branch-misses
1699054288.398131,22953373,branches
1699054288.398131,257638774,instructions
1699054288.398131,497747,branch-misses
1699054288.5042083,30873760,branches
1699054288.5042083,298631150,instructions
1699054288.5042083,851265,branch-misses
1699054288.6121495,31009453,branches
1699054288.6121495,296654456,instructions
1699054288.6121495,874976,branch-misses
1699054288.720076,30075028,branches
1699054288.720076,291308146,instructions
1699054288.720076,1130680,branch-misses
1699054288.8280725,28780022,branches
1699054288.8280725,280568620,instructions
1699054288.8280725,1381739,branch-misses
1699054288.9362626,28631455,branches
1699054288.9362626,273210171,instructions
1699054288.9362626,977979,branch-misses
1699054289.0443323,26844467,branches
1699054289.0443323,252344195,instructions
1699054289.0443323,540274,branch-misses
1699054289.15233,26833446,branches
1699054289.15233,252304521,instructions
1699054289.15233,535863,branch-misses
1699054289.2603278,26737848,branches
1699054289.2603278,251301092,instructions
1699054289.2603278,535938,branch-misses
1699054289.3683643,27059831,branches
1699054289.3683643,252752108,instructions
1699054289.3683643,1038299,branch-misses
1699054289.4762168,30540184,branches
1699054289.4762168,274602343,instructions
1699054289.4762168,2489835,branch-misses
1699054289.5841799,27537426,branches
1699054289.5841799,256114407,instructions
1699054289.5841799,2773637,branch-misses
1699054289.6921434,22442974,branches
1699054289.6921434,249384167,instructions
1699054289.6921434,659262,branch-misses
1699054289.8038297,25630509,branches
1699054289.8038297,281665119,instructions
1699054289.8038297,585048,branch-misses
1699054289.912239,30862024,branches
1699054289.912239,295030043,instructions
1699054289.912239,899660,branch-misses
1699054290.0202825,30960579,branches
1699054290.0202825,296563600,instructions
1699054290.0202825,874997,branch-misses
1699054290.1281073,29635131,branches
1699054290.1281073,286460156,instructions
1699054290.1281073,1257288,branch-misses
1699054290.2361035,28919133,branches
1699054290.2361035,281124842,instructions
1699054290.2361035,1296705,branch-misses
1699054290.344248,28161976,branches
1699054290.344248,268856946,instructions
1699054290.344248,832670,branch-misses
1699054290.452371,26782389,branches
1699054290.452371,251761329,instructions
1699054290.452371,538091,branch-misses
1699054290.5603247,26746062,branches
1699054290.5603247,251448917,instructions
1699054290.5603247,533137,branch-misses
1699054290.6683505,26814094,branches
1699054290.6683505,252046660,instructions
1699054290.6683505,538400,branch-misses
1699054290.7763605,29034763,branches
1699054290.7763605,260677399,instructions
1699054290.7763605,2323846,branch-misses
1699054290.8842194,29793867,branches
1699054290.8842194,274233431,instructions
1699054290.8842194,2122366,branch-misses
1699054290.9922223,24682108,branches
1699054290.9922223,253466773,instructions
1699054290.9922223,1824799,branch-misses
1699054291.100286,22674814,branches
1699054291.100286,254709691,instructions
1699054291.100286,705684,branch-misses
1699054291.2084024,27030354,branches
1699054291.2084024,272714343,instructions
1699054291.2084024,631282,branch-misses
1699054291.3162448,30987342,branches
1699054291.3162448,296287461,instructions
1699054291.3162448,887643,branch-misses
1699054291.424093,30598887,branches
1699054291.424093,295707114,instructions
1699054291.424093,985029,branch-misses
1699054291.5322764,29274886,branches
1699054291.5322764,281960655,instructions
1699054291.5322764,1231670,branch-misses
1699054291.6401494,29193494,branches
1699054291.6401494,280920113,instructions
1699054291.6401494,1255228,branch-misses
1699054291.7482657,27741051,branches
1699054291.7482657,264967002,instructions
