time,counts,events
1699047462.115128,139373546,instructions
1699047462.115128,603440,branch-misses
1699047462.2192094,13485977,branches
1699047462.2192094,130930302,instructions
1699047462.2192094,757804,branch-misses
1699047462.3233287,14757961,branches
1699047462.3233287,138691313,instructions
1699047462.3233287,301125,branch-misses
1699047462.4273283,14746557,branches
1699047462.4273283,138762154,instructions
1699047462.4273283,292921,branch-misses
1699047462.5313532,14756400,branches
1699047462.5313532,138729146,instructions
1699047462.5313532,295315,branch-misses
1699047462.6353068,14755888,branches
1699047462.6353068,138764980,instructions
1699047462.6353068,295844,branch-misses
1699047462.7393107,14512202,branches
1699047462.7393107,131102075,instructions
1699047462.7393107,1221296,branch-misses
1699047462.8434238,14868172,branches
1699047462.8434238,131622225,instructions
1699047462.8434238,1549059,branch-misses
1699047462.9472725,10529593,branches
1699047462.9472725,115469258,instructions
1699047462.9472725,451342,branch-misses
1699047463.0512242,10010320,branches
1699047463.0512242,120898385,instructions
1699047463.0512242,135714,branch-misses
1699047463.1552894,14885475,branches
1699047463.1552894,142375939,instructions
1699047463.1552894,446031,branch-misses
1699047463.2591503,14910814,branches
1699047463.2591503,142598750,instructions
1699047463.2591503,427107,branch-misses
1699047463.3631105,14945427,branches
1699047463.3631105,143317360,instructions
1699047463.3631105,390933,branch-misses
1699047463.4671638,13807615,branches
1699047463.4671638,135165769,instructions
1699047463.4671638,728121,branch-misses
1699047463.5711787,13815653,branches
1699047463.5711787,133941143,instructions
1699047463.5711787,609696,branch-misses
1699047463.6753523,14736333,branches
1699047463.6753523,138537238,instructions
1699047463.6753523,296785,branch-misses
1699047463.7793252,14730226,branches
1699047463.7793252,138567319,instructions
1699047463.7793252,295062,branch-misses
1699047463.8833277,14751121,branches
1699047463.8833277,138653452,instructions
1699047463.8833277,293842,branch-misses
1699047463.9872968,14732245,branches
1699047463.9872968,138546174,instructions
1699047463.9872968,296354,branch-misses
1699047464.091435,15210976,branches
1699047464.091435,129150983,instructions
1699047464.091435,2227071,branch-misses
1699047464.19526,14035577,branches
1699047464.19526,133429992,instructions
1699047464.19526,656609,branch-misses
1699047464.2991848,8826355,branches
1699047464.2991848,111488688,instructions
1699047464.2991848,287715,branch-misses
1699047464.403433,11689464,branches
1699047464.403433,124185631,instructions
1699047464.403433,249740,branch-misses
1699047464.507275,14908440,branches
1699047464.507275,142536063,instructions
1699047464.507275,431115,branch-misses
1699047464.6111367,14919318,branches
1699047464.6111367,142625905,instructions
1699047464.6111367,421830,branch-misses
1699047464.715153,14921214,branches
1699047464.715153,143177663,instructions
1699047464.715153,402287,branch-misses
1699047464.8191164,13498623,branches
1699047464.8191164,131568605,instructions
1699047464.8191164,838781,branch-misses
1699047464.9232125,14124707,branches
1699047464.9232125,136891471,instructions
1699047464.9232125,465340,branch-misses
1699047465.0273657,14733888,branches
1699047465.0273657,138599292,instructions
1699047465.0273657,294777,branch-misses
1699047465.131327,14714518,branches
1699047465.131327,138345514,instructions
1699047465.131327,294426,branch-misses
1699047465.235325,14751893,branches
1699047465.235325,138711310,instructions
1699047465.235325,293637,branch-misses
1699047465.3394172,14726414,branches
1699047465.3394172,138458274,instructions
1699047465.3394172,298215,branch-misses
1699047465.4433148,15011845,branches
1699047465.4433148,126834216,instructions
1699047465.4433148,2433027,branch-misses
1699047465.5472536,14118886,branches
1699047465.5472536,135690906,instructions
1699047465.5472536,577248,branch-misses
1699047465.6511793,7727653,branches
1699047465.6511793,103302979,instructions
1699047465.6511793,97517,branch-misses
1699047465.7552903,13199486,branches
1699047465.7552903,135924621,instructions
1699047465.7552903,337923,branch-misses
1699047465.859272,14898476,branches
1699047465.859272,142636464,instructions
1699047465.859272,433081,branch-misses
1699047465.963345,14860044,branches
1699047465.963345,141960928,instructions
1699047465.963345,413144,branch-misses
1699047466.0672674,14554429,branches
1699047466.0672674,142519486,instructions
1699047466.0672674,558051,branch-misses
1699047466.1711574,9917015,branches
1699047466.1711574,92827993,instructions
1699047466.1711574,582962,branch-misses
1699047466.2718298,253618,branches
1699047466.2718298,1912782,instructions
1699047466.2718298,12112,branch-misses
1699047466.3724158,265982,branches
1699047466.3724158,2005961,instructions
1699047466.3724158,13554,branch-misses
