time,counts,events
1699054915.2161074,10352010,branches
1699054915.2161074,120225440,instructions
1699054915.2161074,152439,branch-misses
1699054915.3202362,14891403,branches
1699054915.3202362,142442772,instructions
1699054915.3202362,445471,branch-misses
1699054915.4240744,14918146,branches
1699054915.4240744,142644480,instructions
1699054915.4240744,424383,branch-misses
1699054915.528114,14940800,branches
1699054915.528114,143371072,instructions
1699054915.528114,398088,branch-misses
1699054915.6320584,9551406,branches
1699054915.6320584,94828034,instructions
1699054915.6320584,468654,branch-misses
1699054915.7324758,245105,branches
1699054915.7324758,1842592,instructions
1699054915.7324758,10637,branch-misses
1699054915.8328419,248917,branches
1699054915.8328419,1872438,instructions
1699054915.8328419,10855,branch-misses
1699054915.933249,1846748,branches
1699054915.933249,16969672,instructions
1699054915.933249,117935,branch-misses
1699054916.040325,14114402,branches
1699054916.040325,136789118,instructions
1699054916.040325,704338,branch-misses
1699054916.1442907,14757908,branches
1699054916.1442907,138695596,instructions
1699054916.1442907,299409,branch-misses
1699054916.248272,14765169,branches
1699054916.248272,138910790,instructions
1699054916.248272,293514,branch-misses
1699054916.352279,14778371,branches
1699054916.352279,138929785,instructions
1699054916.352279,294663,branch-misses
1699054916.4562643,14748733,branches
1699054916.4562643,138693227,instructions
1699054916.4562643,295944,branch-misses
1699054916.5602486,14879049,branches
1699054916.5602486,130214054,instructions
1699054916.5602486,1738307,branch-misses
1699054916.6692932,15555066,branches
1699054916.6692932,143390658,instructions
1699054916.6692932,1131239,branch-misses
1699054916.7763233,9029721,branches
1699054916.7763233,112882921,instructions
1699054916.7763233,327197,branch-misses
1699054916.8803864,11592848,branches
1699054916.8803864,123688913,instructions
1699054916.8803864,224690,branch-misses
1699054916.9842134,14896139,branches
1699054916.9842134,142386933,instructions
1699054916.9842134,440248,branch-misses
1699054917.0881112,14891149,branches
1699054917.0881112,142298609,instructions
1699054917.0881112,439459,branch-misses
1699054917.1921468,14919672,branches
1699054917.1921468,143190585,instructions
1699054917.1921468,407098,branch-misses
1699054917.2960746,1015784,branches
1699054917.2960746,9440569,instructions
1699054917.2960746,41922,branch-misses
1699054917.396448,245587,branches
1699054917.396448,1846046,instructions
1699054917.396448,10528,branch-misses
1699054917.5039935,265128,branches
1699054917.5039935,1998396,instructions
1699054917.5039935,11127,branch-misses
1699054917.604831,11375947,branches
1699054917.604831,111343686,instructions
1699054917.604831,693694,branch-misses
1699054917.7082362,13916855,branches
1699054917.7082362,134884680,instructions
1699054917.7082362,550452,branch-misses
1699054917.8122885,14741304,branches
1699054917.8122885,138616228,instructions
1699054917.8122885,297164,branch-misses
1699054917.916283,14762544,branches
1699054917.916283,138874961,instructions
1699054917.916283,293059,branch-misses
1699054918.0202806,14774349,branches
1699054918.0202806,138885446,instructions
1699054918.0202806,294114,branch-misses
1699054918.1246877,14668277,branches
1699054918.1246877,137919133,instructions
1699054918.1246877,296879,branch-misses
1699054918.2282674,15228571,branches
1699054918.2282674,128729605,instructions
1699054918.2282674,2348611,branch-misses
1699054918.3322177,13996624,branches
1699054918.3322177,134054300,instructions
1699054918.3322177,573304,branch-misses
1699054918.4361484,8444118,branches
1699054918.4361484,108643610,instructions
1699054918.4361484,211997,branch-misses
1699054918.5403216,2239686,branches
1699054918.5403216,22803649,instructions
1699054918.5403216,66222,branch-misses
1699054918.6408112,249898,branches
1699054918.6408112,1881445,instructions
1699054918.6408112,11024,branch-misses
1699054918.741208,5480635,branches
1699054918.741208,61716440,instructions
1699054918.741208,95383,branch-misses
1699054918.8441596,14896059,branches
1699054918.8441596,142498416,instructions
1699054918.8441596,445338,branch-misses
1699054918.9481034,14916557,branches
1699054918.9481034,142647694,instructions
1699054918.9481034,424174,branch-misses
1699054919.0520985,14897013,branches
1699054919.0520985,142897275,instructions
1699054919.0520985,391244,branch-misses
1699054919.1602805,14272466,branches
1699054919.1602805,139461909,instructions
1699054919.1602805,768972,branch-misses
1699054919.2642145,13883502,branches
1699054919.2642145,134569316,instructions
1699054919.2642145,568224,branch-misses
1699054919.3683054,14751361,branches
1699054919.3683054,138698044,instructions
1699054919.3683054,296942,branch-misses
1699054919.472319,14754079,branches
1699054919.472319,138802839,instructions
1699054919.472319,293477,branch-misses
1699054919.5762646,14766837,branches
1699054919.5762646,138811251,instructions
1699054919.5762646,293778,branch-misses
1699054919.6802468,14765849,branches
1699054919.6802468,138852716,instructions
1699054919.6802468,297934,branch-misses
1699054919.784246,15270448,branches
1699054919.784246,129061188,instructions
1699054919.784246,2332537,branch-misses
1699054919.888215,13962487,branches
1699054919.888215,133643855,instructions
1699054919.888215,580937,branch-misses
1699054919.992093,5992735,branches
1699054919.992093,60354130,instructions
1699054919.992093,240513,branch-misses
1699054920.0925238,246431,branches
1699054920.0925238,1854691,instructions
1699054920.0925238,10407,branch-misses
1699054920.1929164,246411,branches
1699054920.1929164,1853413,instructions
1699054920.1929164,10351,branch-misses
1699054920.2933345,1524237,branches
1699054920.2933345,37043839,instructions
1699054920.2933345,13040,branch-misses
1699054920.3963432,11418206,branches
1699054920.3963432,122508862,instructions
1699054920.3963432,209235,branch-misses
1699054920.5002627,14900419,branches
1699054920.5002627,142455777,instructions
1699054920.5002627,434993,branch-misses
1699054920.604136,14872107,branches
1699054920.604136,142116973,instructions
1699054920.604136,425863,branch-misses
1699054920.7083144,14864928,branches
1699054920.7083144,142621484,instructions
1699054920.7083144,403626,branch-misses
1699054920.8122118,13619999,branches
1699054920.8122118,132869714,instructions
1699054920.8122118,805283,branch-misses
1699054920.9161553,13652162,branches
1699054920.9161553,132460423,instructions
1699054920.9161553,497847,branch-misses
1699054921.0204022,14741113,branches
1699054921.0204022,138624642,instructions
1699054921.0204022,296068,branch-misses
1699054921.1242673,14756727,branches
1699054921.1242673,138792857,instructions
1699054921.1242673,293217,branch-misses
1699054921.2282586,14763463,branches
1699054921.2282586,138788232,instructions
1699054921.2282586,294896,branch-misses
1699054921.3322556,14762799,branches
1699054921.3322556,138830606,instructions
1699054921.3322556,297296,branch-misses
1699054921.4362495,15166137,branches
1699054921.4362495,128181368,instructions
1699054921.4362495,2375161,branch-misses
1699054921.5402,1923602,branches
1699054921.5402,17783603,instructions
1699054921.5402,118645,branch-misses
1699054921.6405938,247154,branches
1699054921.6405938,1861898,instructions
1699054921.6405938,10588,branch-misses
1699054921.7409713,263043,branches
1699054921.7409713,1981484,instructions
1699054921.7409713,12403,branch-misses
1699054921.8414445,12966945,branches
1699054921.8414445,124553012,instructions
1699054921.8414445,497768,branch-misses
1699054921.9442654,8077799,branches
1699054921.9442654,105357860,instructions
1699054921.9442654,136193,branch-misses
1699054922.0482616,12746682,branches
1699054922.0482616,132972820,instructions
