episode-return, value-loss, policy-loss, old-approx-kl, approx-kl, clip-fraction, explained-variance
-1062.6561279296875, 6608604672.0, 32429.154296875, 2.142524003982544, 1.6517564058303833, 0.5124269007590779, -0.04060173034667969
-1052.878173828125, 3479624704.0, 44059.66015625, 1.8743129968643188, 1.4634647369384766, 0.48483187169359443, -0.06601130962371826
-1035.716064453125, 5210124800.0, 73911.5703125, 2.6067349910736084, 2.0309674739837646, 0.4925073092443901, -0.03827178478240967
-1043.4241943359375, 7050611200.0, 52482.79296875, 1.6712865829467773, 1.3012077808380127, 0.5052997082994696, -0.056055545806884766
-1048.9619140625, 3751941376.0, 19808.244140625, 1.8357324600219727, 1.425073266029358, 0.4817251458502652, -0.03788268566131592
-1034.469970703125, 2016512640.0, -9855.7275390625, 1.4605768918991089, 1.1321719884872437, 0.4689327488865769, -0.04290759563446045
-1038.1058349609375, 2666360064.0, -4330.427734375, 1.424923300743103, 1.0997380018234253, 0.49506578999653195, -0.04889476299285889
-1032.656005859375, 7296897536.0, 81674.03125, 2.2019450664520264, 1.7106924057006836, 0.47971491228070173, -0.045201897621154785
-1043.39404296875, 17769320448.0, 162745.5625, 2.571779489517212, 1.9969598054885864, 0.48135964912280704, 0.0031970739364624023
-1023.2921752929688, 106728579072.0, -228526.25, 2.0456511974334717, 1.594675898551941, 0.4861111112853937, -0.011879324913024902
-1038.9700927734375, 181072216064.0, 518490.53125, 2.4557015895843506, 1.9205807447433472, 0.4769736847333741, -0.018074989318847656
-1039.2960205078125, 181388820480.0, -384145.28125, 1.5521706342697144, 1.1880344152450562, 0.47971491175785397, 0.027460932731628418
-1059.921875, 178726764544.0, 552598.3125, 2.6488025188446045, 2.0731160640716553, 0.5281432746795186, 0.007348835468292236
-1026.829833984375, 259861757952.0, -479910.34375, 1.4921008348464966, 1.1631871461868286, 0.5206505844467565, 0.04459655284881592
-1034.338134765625, 173893582848.0, 484895.28125, 2.8504369258880615, 2.199043035507202, 0.4892178360830274, -0.014577507972717285
-1042.1182861328125, 210068586496.0, -293587.53125, 2.3269059658050537, 1.7948055267333984, 0.5118786551450428, -0.013054609298706055
-1035.7779541015625, 213533048832.0, 600954.6875, 1.7005671262741089, 1.295424222946167, 0.48300438544206453, 0.005439043045043945
-1065.3900146484375, 344525864960.0, -242458.984375, 2.9770920276641846, 2.3040571212768555, 0.5548245603578132, 0.0014320015907287598
-1027.4901123046875, 376992563200.0, 782309.4375, 2.3695154190063477, 1.8353939056396484, 0.4607090651988983, 0.003798246383666992
-1054.1962890625, 453918425088.0, -511687.53125, 2.006911516189575, 1.5559724569320679, 0.5177266085356996, 0.006394028663635254
-1046.8958740234375, 222868013056.0, 592821.5, 2.5718376636505127, 1.9975429773330688, 0.5005482453526112, 0.014548420906066895
-1037.418212890625, 90294083584.0, -259524.375, 1.7375898361206055, 1.366414189338684, 0.48519736842105265, -0.016135215759277344
-1054.67626953125, 106199130112.0, 422376.46875, 1.5143698453903198, 1.1848766803741455, 0.5000000005228478, -0.0030608177185058594
-1001.3920288085938, 131896115200.0, -333374.75, 1.3420562744140625, 1.0326939821243286, 0.48081140350877194, -0.00558316707611084
-1013.4880981445312, 191472074752.0, 560112.25, 2.013129949569702, 1.599863886833191, 0.4482821639169726, -0.007634997367858887
-1025.27197265625, 238721253376.0, -364939.625, 2.0389182567596436, 1.5866317749023438, 0.5045687137988576, -0.004718303680419922
-1051.8983154296875, 337978490880.0, 722999.1875, 1.9174299240112305, 1.5054750442504883, 0.481725146373113, -0.003444194793701172
-1040.946044921875, 328973025280.0, -347589.875, 2.0907344818115234, 1.6010700464248657, 0.4956140350877193, -0.006029009819030762
-1048.3402099609375, 332382437376.0, 732783.3125, 2.184842348098755, 1.6923047304153442, 0.5014619884783762, 0.0013980865478515625
-1053.77001953125, 246368518144.0, -275231.65625, 2.4642717838287354, 1.9030259847640991, 0.5277777769063648, -0.020213961601257324
